Item Name,Quanitity,Weight,Subweight,Cost,Total Weight
Chassis,1,40.13,40.13,3d printed,198.14
,,,,,
Weapon 100% Solid,1,26.96,26.96,3d printed,
,,,0,,
top,1,7.32,7.32,3d printed,
Armor 2,2,10.91,21.82,3d printed,
,,,,,
,,,,,
Weapon Motor,1,26,26,Already Owned,
battery,1,21.5,21.5,On other BOM,
maleki,1,5,5,$28.00,
n20s,2,8.13,16.26,Already Owned,
wheels,2,8,16,Already Owned,
,,,,,
,,,,,
switch,1,2.15,2.15,Already Owned,
speed controller,1,5,5,On other BOM,
wires and screws,1,10,10,Already Owned,
TOTAL,,198.14,,$28.00,
Final TOTAL (Combine) (Tax also too),,,,$137.59,
