Item Name,Quanitity,Weight,Subweight,Cost,Total Weight
Chassis,1,38.78,38.78,3d printed,193.63
,,,,,
Weapon 100% Solid,1,11.28,11.28,3d printed,
,,,0,,
top,1,13.24,13.24,3d printed,
Back supports,2,3.94,7.86,3d printed,
,,,,,
,,,,,
Weapon Motor,1,26,26,Already Owned,
battery,1,21.5,21.5,$21.88,
maleki,1,5,5,$28.00,
n20s,2,8.13,16.26,Already Owned,
wheels,2,18.28,36.56,3d printed,
,,,,,
,,,,,
switch,1,2.15,2.15,Already Owned,
speed controller,1,5,5,$18.99,
wires and screws,1,10,10,Already Owned,
Filment,1,0,0,$30.99,
TOTAL,,193.63,,$99.86,
